Date,Open,High,Low,Close,Adj Close,Volume
2015-08-01,2656.000000,2793.800049,2364.250000,2392.699951,2043.466797,12118264
2015-09-01,2370.000000,2449.850098,2257.199951,2394.500000,2045.004395,6795082
2015-10-01,2400.000000,2667.600098,2400.000000,2541.600098,2170.634033,5396999
2015-11-01,2575.199951,2734.300049,2532.699951,2699.149902,2305.187988,7344072
2015-12-01,2716.000000,2738.000000,2500.449951,2694.100098,2300.875488,7204450
2016-01-01,2689.000000,2695.000000,2377.149902,2565.649902,2191.173828,8685062
2016-02-01,2560.000000,2728.800049,2438.000000,2499.899902,2135.020264,6612106
2016-03-01,2513.000000,2985.949951,2506.199951,2945.699951,2515.752197,10491047
2016-04-01,2931.100098,3172.000000,2852.000000,2897.399902,2509.966064,7945159
2016-05-01,2893.000000,3129.000000,2820.350098,3098.899902,2684.521973,9500161
2016-06-01,3123.699951,3226.000000,2954.550049,3178.250000,2753.261719,7855363
2016-07-01,3188.699951,3306.949951,3095.000000,3203.149902,2774.831543,5617180
2016-08-01,3220.699951,3582.699951,3195.600098,3541.350098,3067.808594,10622198
2016-09-01,3560.000000,3740.000000,3388.100098,3413.699951,2957.227295,7465393
2016-10-01,3436.399902,3594.000000,3301.199951,3351.850098,2929.761963,7293716
2016-11-01,3380.000000,3401.000000,2849.500000,3166.050049,2767.359131,10965244
2016-12-01,3161.000000,3333.000000,2958.000000,3043.649902,2660.372070,6050583
2017-01-01,3042.000000,3275.949951,2962.550049,3172.350098,2772.865479,8039519
2017-02-01,3175.000000,3319.199951,3049.199951,3138.100098,2742.928711,7798023
2017-03-01,3156.899902,3412.000000,3150.000000,3221.949951,2816.219482,9856739
2017-04-01,3222.800049,3364.000000,3175.000000,3318.600098,2948.377930,5799175
2017-05-01,3318.600098,3762.000000,3265.000000,3745.449951,3327.608154,7120072
2017-06-01,3742.000000,3880.550049,3636.600098,3701.350098,3288.428223,6230715
2017-07-01,3688.000000,3804.050049,3605.000000,3655.750000,3274.346924,6173476
2017-08-01,3675.000000,4044.000000,3668.050049,3995.100098,3578.292725,8606628
2017-09-01,4006.000000,4091.949951,3674.500000,3774.550049,3380.752930,7647278
2017-10-01,3774.550049,3870.050049,3661.199951,3849.899902,3448.241211,6285161
2017-11-01,3875.000000,3882.899902,3560.750000,3633.649902,3254.552734,6806408
2017-12-01,3642.000000,3848.800049,3410.000000,3785.149902,3390.246826,7451095
2018-01-01,3810.000000,3810.000000,3526.300049,3691.449951,3306.322754,21048341
2018-02-01,3695.149902,3752.449951,3442.000000,3596.699951,3221.457520,6460853
2018-03-01,3575.000000,3729.750000,3361.050049,3542.800049,3222.467529,6266573
2018-04-01,3544.000000,3825.000000,3512.199951,3732.250000,3394.787842,6047863
2018-05-01,3732.250000,3774.000000,3445.949951,3544.899902,3224.377686,7228900
2018-06-01,3563.500000,3712.199951,3456.350098,3473.500000,3159.433105,5911212
2018-07-01,3480.000000,3670.000000,3033.750000,3294.449951,2996.572510,13600888
2018-08-01,3296.000000,3349.899902,3188.699951,3253.800049,3027.245605,6661974
2018-09-01,3280.000000,3345.000000,2877.850098,2933.250000,2729.015137,8009101
2018-10-01,2910.000000,2995.000000,2648.000000,2762.350098,2570.014404,14295194
2018-11-01,2778.000000,3104.699951,2749.000000,3055.199951,2842.473877,7173677
2018-12-01,3050.000000,3380.000000,2982.000000,3104.250000,2888.108887,13397297
2019-01-01,3089.000000,3135.000000,2561.000000,2613.949951,2431.947021,11991861
2019-02-01,2629.449951,2960.000000,2581.500000,2628.100098,2445.111816,16557689
2019-03-01,2649.899902,2849.399902,2515.000000,2553.149902,2420.682861,14953216
2019-04-01,2573.000000,2759.899902,2477.000000,2511.850098,2381.525879,16857672
2019-05-01,2511.850098,2850.000000,2475.000000,2680.250000,2541.188477,12592166
2019-06-01,2712.000000,2859.149902,2540.699951,2581.500000,2447.562256,13466702
2019-07-01,2596.000000,2639.500000,2225.600098,2356.100098,2233.856934,21520512
2019-08-01,2335.000000,2722.000000,2288.550049,2572.050049,2501.104492,27125913
2019-09-01,2572.050049,3022.899902,2513.449951,2704.750000,2630.144043,20693067
2019-10-01,2715.699951,2749.750000,2567.899902,2704.199951,2629.609131,17036419
2019-11-01,2708.000000,2759.000000,2424.000000,2433.550049,2366.424805,15273660
2019-12-01,2431.000000,2485.000000,2263.000000,2443.050049,2375.662598,18230401
2020-01-01,2454.899902,2522.000000,2310.550049,2501.850098,2432.840820,13911559
2020-02-01,2489.850098,2531.000000,2033.949951,2051.750000,1995.156006,22304450
2020-03-01,2100.000000,2110.000000,1475.000000,1596.449951,1596.449951,26204530
2020-04-01,1590.099976,2198.100098,1543.150024,2166.699951,2166.699951,31556392
2020-05-01,2051.000000,2391.899902,1933.250000,2360.850098,2360.850098,42918890
2020-06-01,2360.750000,2590.649902,2230.699951,2546.949951,2546.949951,46048933
2020-07-01,2556.000000,2788.500000,2530.000000,2691.449951,2691.449951,12625921
2020-07-10,2690.000000,2734.500000,2671.600098,2682.000000,2682.000000,1205528
