Date,Open,High,Low,Close,Adj Close,Volume
2015-08-01,7099.750000,7233.750000,6352.899902,6669.350098,6669.350098,0
2015-09-01,6617.000000,6694.600098,6286.700195,6646.100098,6646.100098,743200
2015-10-01,6700.799805,6952.000000,6700.799805,6750.950195,6750.950195,0
2015-11-01,6747.399902,6796.350098,6654.100098,6661.700195,6661.700195,0
2015-12-01,null,null,null,null,null,null
2016-01-01,null,null,null,null,null,null
2016-02-01,null,null,null,null,null,null
2016-03-01,0.020000,0.030000,0.020000,0.030000,0.030000,103400
2016-04-01,0.020000,0.020000,0.020000,0.020000,0.020000,0
2016-05-01,0.040000,0.040000,0.040000,0.040000,0.040000,200200
2016-06-01,null,null,null,null,null,null
2016-07-01,null,null,null,null,null,null
2016-08-01,null,null,null,null,null,null
2016-09-01,null,null,null,null,null,null
2016-10-01,null,null,null,null,null,null
2016-11-01,null,null,null,null,null,null
2016-12-01,7083.100098,7083.100098,6711.649902,6982.799805,6982.799805,0
2017-01-01,7019.000000,7483.899902,6989.000000,7379.299805,7379.299805,0
2017-02-01,7390.549805,7762.600098,7366.899902,7709.100098,7709.100098,0
2017-03-01,7733.299805,8005.750000,7659.250000,7995.049805,7995.049805,0
2017-04-01,8028.549805,8260.349609,7983.200195,8214.299805,8214.299805,0
2017-05-01,8244.700195,8404.099609,8087.000000,8350.950195,8350.950195,0
2017-06-01,8343.849609,8496.000000,8249.099609,8331.599609,8331.599609,0
2017-07-01,8380.000000,8817.349609,8348.400391,8793.299805,8793.299805,0
2017-08-01,8815.250000,8832.799805,8371.200195,8694.950195,8694.950195,0
2017-09-01,8717.049805,8976.750000,8476.299805,8600.000000,8600.000000,0
2017-10-01,8689.750000,9177.200195,8640.799805,9153.599609,9153.599609,0
2017-11-01,9203.950195,9309.650391,8949.000000,9154.500000,9154.500000,0
2017-12-01,9191.450195,9496.400391,8981.950195,9490.650391,9490.650391,0
2018-01-01,9474.099609,9895.000000,9377.299805,9697.900391,9697.900391,0
2018-02-01,9717.299805,9764.349609,8968.500000,9261.900391,9261.900391,0
2018-03-01,9254.400391,9297.400391,8744.500000,8912.099609,8912.099609,0
2018-04-01,8949.450195,9503.599609,8933.450195,9496.500000,9496.500000,0
2018-05-01,9531.599609,9531.650391,9046.700195,9315.349609,9315.349609,0
2018-06-01,9317.799805,9423.200195,9018.049805,9162.450195,9162.450195,0
2018-07-01,9185.200195,9657.599609,9060.599609,9650.599609,9650.599609,0
2018-08-01,9661.700195,10027.000000,9579.700195,9992.000000,9992.000000,0
2018-09-01,10049.849609,10049.849609,9041.650391,9116.000000,9116.000000,0
2018-10-01,9107.000000,9185.500000,8370.799805,8753.450195,8753.450195,0
2018-11-01,8798.299805,9134.349609,8742.500000,9109.150391,9109.150391,0
2018-12-01,9153.599609,9258.349609,8646.549805,9170.000000,9170.000000,0
2019-01-01,9169.700195,9195.799805,8825.599609,9003.849609,9003.849609,0
2019-02-01,9024.950195,9179.750000,8729.700195,8955.950195,8955.950195,0
2019-03-01,8995.450195,9667.450195,8994.000000,9663.700195,9663.700195,0
2019-04-01,9703.000000,9826.450195,9577.000000,9664.299805,9664.299805,0
2019-05-01,9646.400391,9889.299805,9108.450195,9805.049805,9805.049805,0
2019-06-01,9827.750000,9941.450195,9476.099609,9657.950195,9657.950195,0
2019-07-01,9697.000000,9805.299805,8928.049805,9044.950195,9044.950195,0
2019-08-01,9001.700195,9103.000000,8628.349609,8977.549805,8977.549805,0
2019-09-01,8927.900391,9552.250000,8738.650391,9340.900391,9340.900391,0
2019-10-01,9372.700195,9733.349609,9008.849609,9689.650391,9689.650391,887800
2019-11-01,9703.099609,9874.900391,9596.849609,9813.650391,9813.650391,39800
2019-12-01,9863.099609,9946.049805,9574.849609,9872.549805,9872.549805,281900
2020-01-01,9897.950195,10174.950195,9700.349609,9987.549805,9987.549805,236968300
2020-02-01,9578.500000,10071.700195,9214.099609,9236.049805,9236.049805,317031000
2020-03-01,9380.400391,9436.500000,6151.600098,6996.750000,6996.750000,529913000
2020-04-01,6995.549805,8041.049805,6619.549805,8012.899902,8012.899902,373737700
2020-05-01,7764.950195,7834.049805,7234.450195,7822.399902,7822.399902,421822000
2020-06-01,7935.700195,8699.549805,7839.149902,8474.799805,8474.799805,602979600
2020-07-01,8493.750000,8894.049805,8466.700195,8813.950195,8813.950195,195829900
2020-07-10,8818.700195,8865.349609,8772.450195,8813.950195,8813.950195,0
